Week Start Date,Actual HC
01/09/2023,9
01/16/2023,24
01/23/2023,35
01/30/2023,35
02/06/2023,47
02/13/2023,29
02/20/2023,29
02/27/2023,40
03/06/2023,159
03/13/2023,42
03/20/2023,51
03/27/2023,82
04/03/2023,78
04/10/2023,50
04/17/2023,56
04/24/2023,64
05/01/2023,73
05/08/2023,57
05/15/2023,56
05/22/2023,40
05/29/2023,76
06/05/2023,43
06/12/2023,69
06/19/2023,67
06/26/2023,49
07/03/2023,65
07/10/2023,77
07/17/2023,56
07/24/2023,65
07/31/2023,66
08/07/2023,63
08/14/2023,73
08/21/2023,69
08/28/2023,60
09/04/2023,63
09/11/2023,78
09/18/2023,87
09/25/2023,107
10/02/2023,79
10/09/2023,81
10/16/2023,73
10/23/2023,87
10/30/2023,77
11/06/2023,53
11/13/2023,69
11/20/2023,64
11/27/2023,64
12/04/2023,53
12/11/2023,49
12/18/2023,47
12/25/2023,62
01/01/2024,62
01/08/2024,56
01/15/2024,85
01/22/2024,85
01/29/2024,88
02/05/2024,76
02/12/2024,98
02/19/2024,73
02/26/2024,85
03/04/2024,77
03/11/2024,73
03/18/2024,72
03/25/2024,78
04/01/2024,80
04/08/2024,85
04/15/2024,62
04/22/2024,78
04/29/2024,56
05/06/2024,63
05/13/2024,68
05/20/2024,81
05/27/2024,62
06/03/2024,55
06/10/2024,56
06/17/2024,62
06/24/2024,55
07/01/2024,69
07/08/2024,47
07/15/2024,97
07/22/2024,78
07/29/2024,56
08/05/2024,69
08/12/2024,53
08/19/2024,53
08/26/2024,75
09/02/2024,45
09/09/2024,51
09/16/2024,60
09/23/2024,55
09/30/2024,75
10/07/2024,67
10/14/2024,67
10/21/2024,50
10/28/2024,68
11/04/2024,52
11/11/2024,50
11/18/2024,60
11/25/2024,55
12/02/2024,37
12/09/2024,48
12/16/2024,59
12/23/2024,34
12/30/2024,43
01/06/2025,57
01/13/2025,61
01/20/2025,43
01/27/2025,83
02/03/2025,90
02/10/2025,80
02/17/2025,69
02/24/2025,57
03/03/2025,79
03/10/2025,79
03/17/2025,78
03/24/2025,82
03/31/2025,62
04/07/2025,70
04/14/2025,90
04/21/2025,64
04/28/2025,77
05/05/2025,68
05/12/2025,81
05/19/2025,72
05/26/2025,58
06/02/2025,91
06/09/2025,62
06/16/2025,68
06/23/2025,77
06/30/2025,48
07/07/2025,63
07/14/2025,62
07/21/2025,61
07/28/2025,69
08/04/2025,59
08/11/2025,63
08/18/2025,63
08/25/2025,54
09/01/2025,50
09/08/2025,56
09/15/2025,45
09/22/2025,81
09/29/2025,65
10/06/2025,46
10/13/2025,51
10/20/2025,48
10/27/2025,50
11/03/2025,51
11/10/2025,38
11/17/2025,42
11/24/2025,38
12/01/2025,44
12/08/2025,49
12/15/2025,37
12/22/2025,32
12/29/2025,31
01/05/2026,67
01/12/2026,45
01/19/2026,53
01/26/2026,64
02/02/2026,50
02/09/2026,18
02/16/2026,10
02/23/2026,1
